"공사규모별(1)","공사기간별(1)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"공사규모별(1)","공사기간별(1)",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"공사규모별(1)","공사기간별(1)",건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건)
"합계","계",691900,118535,32861,23306,22611,17576,17292,15456,2569,119447,35910,27377,37527,37165,55953,67484,49928,10903
"합계","1개월미만",264803,55842,14252,9577,9535,6551,6849,6893,864,47238,13402,7848,11980,11032,17852,23887,17916,3285
"합계","1개월~3개월미만",283301,33767,10807,8787,7889,6688,6542,5747,1246,43337,17266,13289,19799,19656,26697,32842,24543,4399
"합계","3개월~6개월미만",61630,9334,3140,2347,2020,1756,1753,1408,219,10979,2778,3193,3000,3439,5217,5835,3707,1505
"합계","6개월~9개월미만",25729,4772,1461,852,1013,657,755,493,90,5495,825,1193,1110,1256,1674,2082,1369,632
"합계","9개월~12개월미만",17350,4253,1015,565,734,536,434,495,47,3991,409,629,575,671,896,897,856,347
"합계","12개월~15개월미만",18738,4352,1008,517,592,503,441,169,49,3624,845,554,550,604,2366,1180,927,457
"합계","15개월~18개월미만",8471,2410,445,283,386,332,212,81,12,1818,206,299,186,257,690,393,297,164
"합계","18개월~21개월미만",4788,1381,274,177,233,231,147,57,16,1122,73,168,109,128,256,200,146,70
"합계","21개월~24개월미만",3125,1027,208,104,104,155,66,45,13,798,50,93,73,60,130,72,94,33
"합계","24개월이상",3965,1397,251,97,105,167,93,68,13,1045,56,111,145,62,175,96,73,11
"1,000만원 미만","계",263891,42152,12949,8602,7996,5752,6620,6343,857,43324,15380,9430,14561,14460,24962,30181,17660,2662
"1,000만원 미만","1개월미만",164639,31400,9265,5983,6023,3874,4532,4314,458,28978,9094,5050,7529,7003,12750,16196,10488,1702
"1,000만원 미만","1개월~3개월미만",87180,8107,2984,2297,1771,1732,1815,1771,372,12311,5726,3892,6659,6834,10549,12798,6693,869
"1,000만원 미만","3개월~6개월미만",6046,1054,265,192,116,93,169,177,22,1095,304,244,211,416,777,598,250,63
"1,000만원 미만","6개월~9개월미만",2013,407,151,38,41,13,43,38,-,387,60,147,52,91,132,321,83,9
"1,000만원 미만","9개월~12개월미만",1214,433,155,51,22,25,28,19,3,233,59,25,17,25,41,42,33,3
"1,000만원 미만","12개월~15개월미만",2244,391,122,39,20,14,32,22,2,268,131,68,89,86,623,213,108,16
"1,000만원 미만","15개월~18개월미만",311,176,4,1,1,-,-,1,-,30,4,3,3,5,75,7,1,-
"1,000만원 미만","18개월~21개월미만",45,10,-,-,2,-,-,-,-,10,2,-,1,-,14,4,2,-
"1,000만원 미만","21개월~24개월미만",24,8,3,-,-,1,-,1,-,6,-,1,-,-,1,2,1,-
"1,000만원 미만","24개월이상",175,166,-,1,-,-,1,-,-,6,-,-,-,-,-,-,1,-
"1,000만~1,500만원 미만","계",69855,8410,2574,1979,1826,1431,1242,1217,291,10275,4492,3195,4978,4891,6239,9413,6567,835
"1,000만~1,500만원 미만","1개월미만",25524,4900,1291,856,850,593,552,635,102,4640,1453,759,1322,1275,1307,2491,2165,333
"1,000만~1,500만원 미만","1개월~3개월미만",37601,2689,1071,964,849,664,592,503,170,4585,2686,2057,3379,3220,3689,6049,4015,419
"1,000만~1,500만원 미만","3개월~6개월미만",3636,419,116,115,74,130,51,47,13,546,169,218,163,228,521,528,247,51
"1,000만~1,500만원 미만","6개월~9개월미만",934,125,33,18,24,9,11,12,2,163,49,63,46,76,132,116,44,11
"1,000만~1,500만원 미만","9개월~12개월미만",518,113,27,13,15,21,18,11,1,143,6,26,14,22,28,44,13,3
"1,000만~1,500만원 미만","12개월~15개월미만",1374,124,26,11,9,13,17,8,3,141,127,64,53,63,457,165,79,14
"1,000만~1,500만원 미만","15개월~18개월미만",173,24,6,2,4,1,-,-,-,24,2,3,1,5,82,16,2,1
"1,000만~1,500만원 미만","18개월~21개월미만",56,7,4,-,1,-,1,1,-,10,-,3,-,1,22,4,1,1
"1,000만~1,500만원 미만","21개월~24개월미만",17,3,-,-,-,-,-,-,-,9,-,1,-,1,-,-,1,2
"1,000만~1,500만원 미만","24개월이상",22,6,-,-,-,-,-,-,-,14,-,1,-,-,1,-,-,-
